"genre","song_name","artist","song_popularity","song_duration_ms","acousticness","danceability","energy","liveness","loudness","speechiness","tempo","audio_valence"
"acoustic","Save My Life - Radio Edit","John Smith",53,217973,0.778,0.583,0.235,0.187,-10.121,0.0287,137.829,0.368
"acoustic","No Place In Mind","Justin Nozuka",52,284038,0.722,0.335,0.443,0.0921,-9.565,0.0382,169.135,0.184
"acoustic","Tell Me - Acoustic","Sabrina Claudio",60,200864,0.72,0.632,0.293,0.326,-12.507,0.0284,103.869,0.586
"acoustic","Let It Go - James Bay Spotify Session 2015","James Bay",73,285866,0.879,0.5,0.213,0.721,-9.095,0.0462,140.053,0.37
"acoustic","Cringe - Stripped","Matt Maeson",68,219151,0.896,0.539,0.263,0.104,-11.149,0.0552,119.671,0.222
"acoustic","Can't See Straight - Acoustic","Jamie Lawson",56,188057,0.712,0.811,0.38,0.309,-6.235,0.0406,98.04,0.647
"acoustic","Young Blood - Acoustic","Noah Kahan",61,200613,0.821,0.701,0.234,0.102,-10.441,0.0443,84.995,0.298
"acoustic","Better","Declan J Donovan",64,201250,0.581,0.597,0.425,0.1,-5.513,0.0295,119.998,0.309
"acoustic","Don't Be A Fool - MTV Unplugged","Shawn Mendes",15,337840,0.752,0.307,0.353,0.163,-9.965,0.0462,174.927,0.199
"acoustic","The Other (Stripped)","Lauv",17,182000,0.816,0.376,0.371,0.337,-6.58,0.0365,90.514,0.395
"acoustic","Love Me Like I'm Gone.","Jaws of Love.",51,172480,0.85,0.457,0.441,0.115,-9.866,0.0286,171.758,0.654
"acoustic","Call You Home","Kelvin Jones",57,171613,0.303,0.643,0.46,0.115,-6.963,0.0272,90.011,0.657
"acoustic","Anaheim","Nicole Zefanya",54,258000,0.663,0.485,0.307,0.123,-13.129,0.0565,80.171,0.132
"acoustic","For Me, For Her, For You","John Adams",52,243629,0.86,0.573,0.206,0.114,-10.707,0.0314,123.752,0.222
"acoustic","Yellow Bird","Ben Stevenson",38,222842,0.683,0.485,0.353,0.106,-11.212,0.0296,114.064,0.0706
"acoustic","Make Me (Cry) - Acoustic Version","Noah Cyrus",61,232906,0.886,0.604,0.261,0.142,-7.736,0.0598,77.245,0.361
"acoustic","Louise","Big Brutus",51,244866,0.761,0.467,0.324,0.122,-11.487,0.0309,100.89,0.445
"acoustic","Magnetised - Acoustic","Tom Odell",65,292186,0.952,0.487,0.0746,0.108,-12.952,0.0327,106.328,0.123
"acoustic","California Numb - Acoustic","CLOVES",52,201839,0.889,0.73,0.286,0.173,-8.277,0.0545,83.98,0.446
"acoustic","Ghost - Live From Spotify NYC","Halsey",56,160400,0.635,0.393,0.553,0.676,-6.719,0.22,187.673,0.164
"acoustic","On the Run","Corey Harper",56,206637,0.387,0.411,0.512,0.0676,-7.491,0.027,83.399,0.0544
"acoustic","Rather Be with You - Acoustic","Sinead Harnett",53,199704,0.817,0.579,0.256,0.134,-8.306,0.0384,109.901,0.258
"acoustic","This Town","Niall Horan",69,232600,0.711,0.69,0.407,0.126,-7.739,0.0297,111.916,0.181
"acoustic","Falling","Emil Landman",54,202483,0.269,0.533,0.679,0.112,-8.346,0.0329,87.995,0.21
"acoustic","Rusty","Hein Cooper",54,198582,0.16,0.87,0.572,0.0993,-7.667,0.039,119.98,0.854
"acoustic","FourFiveSeconds","Rihanna",42,188238,0.868,0.579,0.268,0.12,-5.65,0.0442,205.903,0.321
"acoustic","Ol' Sweet Day","AHI",19,178053,0.603,0.393,0.558,0.108,-9.429,0.0475,112.64,0.336
"acoustic","Miles Away","Josh Ritter",56,232000,0.185,0.556,0.592,0.109,-7.121,0.0393,138.041,0.196
"acoustic","Burning House","Cam",67,231333,0.887,0.728,0.253,0.133,-8.427,0.0304,140.923,0.457
"acoustic","Love And Happiness","Marc Broussard",53,278146,0.0269,0.884,0.469,0.073,-9.852,0.0372,94.345,0.897
"acoustic","Reasons - Acoustic","Jillian Jacqueline",13,184840,0.814,0.446,0.388,0.119,-6.201,0.0405,175.154,0.581
"acoustic","Life Is Confusing","Langhorne Slim",52,171413,0.955,0.373,0.216,0.0739,-11.41,0.0326,129.03,0.496
"acoustic","Already Gone - Acoustic","Brett Dennen",58,174053,0.612,0.555,0.463,0.142,-7.994,0.0343,88.399,0.661
"acoustic","Before You","Fortunate Ones",49,167164,0.765,0.505,0.252,0.0829,-10.169,0.0321,80.83,0.393
